"category_id","product_id","product_name","price","colour_code","colour","description","size","section","product_family","product_subfamily","care","materials_description","materials","dimension","low_on_stock","availability","image","sku","url","currency","you_may_also_like"
447066630,427867337,"STRAPPY GEORGETTE DRESS",999,615,"Orange","Midi dress with a V-neck and thin straps. Asymmetric hem with a front slit. Matching lining. Concealed side zip fastening at the waist.",,"WOMAN","VESTIDO","L. VESTIDO","{""instructions"":[]}",,,,false,false,[],"447066630-615-1","https://www.zara.com/se/en/strappy-georgette-dress-p04786504.html?v1=447066630&v2=2420896","SEK",
410580948,369237006,"BUCKLE MARY JANES",49.9,624,"Burgundy Red","Ballet flats with faux patent leather finish. Wide strap detail with adjustable buckle at front.

Sole height: 0.4 inches (1 cm)",,"WOMAN","ZAPATO PLANO","Z1T:ZAPATO PLAN","{""instructions"":[]}",,,"Sole height: 0.4 inches (1 cm)",false,false,[],"410580948-624-35","https://www.zara.com/ca/en/buckle-mary-janes-p13523410.html?v1=369245346&v2=2419517","CAD",
412663592,412662469,"100% WOOL BASIC CARDIGAN",49.99,700,"Brown","Plain knit cardigan made of 100% wool. Featuring a crew neck, long sleeves and ribbed trims. Button-up front.",,"WOMAN","CHAQUETA","PUNTO CHAQUETA","{""instructions"":[]}",,,,true,false,[],"412663592-700-2","https://www.zara.com/uk/en/100-wool-basic-cardigan-p02893102.html?v1=412663592&gQT=1","GBP",
423158463,398027918,"LONG BELTED WOOL BLEND COAT",169,800,"Black","Coat made of a wool blend. Lapel collar. Long sleeves. Front welt pockets. Back opening. Self belt closure.",,"WOMAN","ABRIGO","B.P-EXTER.LARGA","{""instructions"":[]}",,,,false,false,[],"423158463-800-1","https://www.zara.com/us/en/long-belted-wool-blend-coat-p09174141.html?v1=398033634&v2=2419032","USD",
434379233,434377919,"BERMUDA SHORTS WITH CUTWORK EMBROIDERY",49.95,251,"Oyster-white","High-waist Bermuda shorts with front pockets, tonal perforated embroidery detail and lining. Concealed side zip fastening.",,"WOMAN","BERMUDA","B.BERMUDA","{""instructions"":[]}",,,,false,true,[],"434379233-251-1","https://www.zara.com/bg/en/bermuda-shorts-with-cutwork-embroidery-p02681519.html?v1=434379233&v2=2546081","BGN",
410594879,410593893,"ROSE HEART EARRINGS",29.9,303,"Golden","Rose earrings made of fabric with metallic heart pendant. Butterfly clip closure.",,"WOMAN","BISUTERIA","Z-BISUTERIA ZA","{""instructions"":[]}",,,,false,false,[],"410594879-303-3","https://www.zara.com/us/en/rose-heart-earrings-p01856004.html?v1=410594879&v2=2367234","USD",
439322381,415407796,"INTERLOCK BANDEAU TOP",25.9,620,"Pink","Bandeau top made of soft, opaque, and compact stretch knit fabric. Straight neckline and off-the-shoulder design.",,"WOMAN","TOPS Y OTRAS P.","C.CTAS BASICAS","{""instructions"":[]}",,,,false,false,[],"439322381-620-2","https://www.zara.com/us/en/interlock-bandeau-top-p03641312.html?v1=439322381&v2=2419940","USD",
424639917,421559717,"ASYMMETRISK MINIKLÄNNING MED VECK",379,620,"Rosa","Kort klänning med V-ringning och hängslen. Spetskant i samma färg. Veck fram och bak. Asymmetrisk nederkant.",,"WOMAN","VESTIDO","C.VESTIDO FANTA","{""instructions"":[]}",,,,false,true,[],"424639917-620-2","https://www.zara.com/se/sv/asymmetrisk-miniklanning-med-veck-p01937306.html","SEK",
412986412,412965160,"STRIPED TWILL DUNGAREES",22.99,926,"Pink","Long dungarees with a straight neckline and straps with snap button fastening. Snap button fastening on the sides. Patch pockets on the bib and back. Striped print.",,"KID","PETO BEBE","BABY CONFECCION","{""instructions"":[]}",,,,true,true,[],"412986412-926-6","https://www.zara.com/uk/en/striped-twill-dungarees-p04441451.html","GBP",
416030411,416024201,"JEANS ZW COLLECTION RETOS CINTURA MÉDIA",39.95,802,"Cinzento","CINTURA MÉDIA - STRAIGHT LEG
ZARA WOMAN COLLECTION

Jeans retos de cintura média com presilhas. Cinco bolsos. Fecho frontal com fecho de correr e botão.",,"WOMAN","PANTALON","W.PANT.PAQUETER","{""instructions"":[]}",,,"Jeans retos de cintura m&#xE9;dia com presilhas. Cinco bolsos. Fecho frontal com fecho de correr e bot&#xE3;o.",false,true,[],"416030411-802-34","https://www.zara.com/pt/pt/jeans-zw-collection-retos-cintura-media-p06840301.html?v1=416030411&v2=2419517","EUR",
427873308,427866073,"FLORAL MINI DRESS",49.9,114,"Reds","Short dress with round neckline and straps. Gathered detail at bust. Matching inner lining. Back hidden in-seam zip closure.",,"WOMAN","VESTIDO","T.VESTIDO","{""instructions"":[]}",,,,false,true,[],"427873308-114-1","https://www.zara.com/us/en/floral-mini-dress-p02180354.html","USD",
425537966,406836466,"DOUBLE PLEAT TROUSERS",29.99,606,"Burgundy","High-waist trousers with belt loops. Double pleat detail. Side pockets and false welt back pockets. Zip fly and button fastening.",,"WOMAN","PANTALON","T.PANTALON","{""instructions"":[]}",,,,false,true,[],"425537966-606-1","https://www.zara.com/uk/en/trousers-with-double-pleat-p01255556.html?v1=417727274&v2=2420795","GBP",
424889695,424887185,"SATYNOWA SUKIENKA W STYLU BIELIŹNIANYM",149,537,"Mięta","Sukienka z prostym dekoltem, marszczeniem i cienkimi ramiączkami. Elastyczna taśma z tyłu. Rozcięcie u dołu z boku.",,"WOMAN","VESTIDO","B.VESTIDO","{""instructions"":[]}",,,,false,true,[],"424889695-537-1","https://www.zara.com/pl/pl/satynowa-sukienka-w-stylu-bieliznianym-p08351023.html?v1=424889695&v2=2546081","PLN",
422470085,375070241,"CHUNKY CHENILLE BLANKET",49.9,712,"Ecru","Chunky chenille blanket with a pleasant feel and a satin finish. Featuring long fringing.",,"HOME","MANTAS","MANTAS","{""instructions"":[]}",,,,false,true,[],"422470085-712-16","https://www.zara.com/us/en/chunky-chenille-blanket-p42301004.html?v1=376402396&v2=2415488","USD",
410585317,410581830,"PLAIN T-SHIRT WITH POCKET",5.95,400,"Blue","Round neck, long sleeve T-shirt with a patch pocket on the chest.

The model is 109cm tall and wears a size 5.",,"KID","CAMISETA BEBE","KD-O CTA. M/L","{""instructions"":[]}",,,"The model is 109cm tall and wears a size 5.",false,true,[],"410585317-400-18","https://www.zara.com/ie/en/plain-t-shirt-with-pocket-p01887550.html?v1=410585317","EUR",
420668838,415172599,"RIBSHIRT MET KNOPEN",9.99,800,"Zwart","MIDDENGEWICHT - REGULAR FIT - RONDE HALS - NORMALE LENGTE - LANGE MOUWEN

T-shirt met ronde hals en lange mouwen. Ribgebreid. Knoopsluiting op het voorpand.",,"WOMAN","CAMISETA","C.CTAS BASICAS","{""instructions"":[]}",,,"T-shirt met ronde hals en lange mouwen. Ribgebreid. Knoopsluiting op het voorpand.",false,false,[],"420668838-800-1","https://www.zara.com/be/nl/ribshirt-met-knopen-p03431151.html?v1=420668838&v2=2420417","EUR",
410528998,410527781,"SATIN MIDI SKIRT",69.95,632,"Bright red","Midi skirt with elasticated waist. Satin fabric.",,"WOMAN","FALDA","B.FALDA","{""instructions"":[]}",,,,false,true,[],"410528998-632-1","https://www.zara.com/au/en/satin-midi-skirt-p07125599.html?v1=423773075&v2=2509380","AUD",
419535923,419526904,"STICKAD JACKA MED DRAGKEDJA",559,800,"Svart","Stickad jacka med regular fit. Hög krage och långärmad. Sneda fickor i höften. Ribbade kanter. Dragkedja fram.",,"MAN","CHAQUETA","Chaqueta Punto","{""instructions"":[]}",,,,false,true,[],"419535923-800-3","https://www.zara.com/se/sv/stickad-jacka-med-dragkedja-p04696412.html?v1=419535923&v2=2432265","SEK",
420928750,410584885,"MINIMALIST BUCKET BAG",59.9,700,"Brown","Bucket bag. Minimalist style. Shoulder straps with contrasting color topstitching. Interior zip pocket. Magnetic button closure. 

Height x Length x Width: 12 x 13.6 x 4.3 inches (30.5 x 34.5 x 11 cm)",,"WOMAN","BOLSOS","Z1:BAGS LARGE","{""instructions"":[]}",,,"Height x Length x Width: 12 x 13.6 x 4.3 inches (30.5 x 34.5 x 11 cm)",true,false,[],"420928750-700-3","https://www.zara.com/ca/en/minimalist-bucket-bag-p16009510.html?v1=420928750&utm_source=google&utm_medium=cpc&gad_source=1&gbraid=0AAAAADqbk7ZVAazECv06Qmca1_ckd_9xQ&gclid=Cj0KCQjwytS-BhCKARIsAMGJyzo0faxqNgxAcilAIDYu7lxnJp-4r8nYDS733717uHapjKMIJPFB3o0aAgrMEALw_wcB","CAD",
410570306,410569045,"SAND DESERT AT SUNSET EDP 100ML ( 3.4 FL.OZ )",22.95,999,,"Eau de Parfum. Benoist Lapouza präsentiert uns einen blumigen und östlichen Duft, der die letzten Sonnenstrahlen einfängt, bevor die Sonne zwischen den Dünen untergeht. Die Duftpyramide enthüllt Kopfnoten von Weihrauch und Orange auf einer Basis von Zimt, Tonkabohne und Schokolade. Die Basisnote enthüllt Noten von Zedernholz und Schwertlilie.",,"MAN","EAU DE PERFUME","PERFU-REG-PREM","{""instructions"":[]}",,,,false,true,[],"410570306-999-99","https://www.zara.com/at/de/sand-desert-at-sunset-100%C2%A0ml-p20220238.html","EUR",
435247085,435227463,"BLAZER WITH SHOULDER PADS",45.99,250,"White","Long sleeve blazer with lapel collar and shoulder pads. Front flap patch pockets. Front button closure.",,"WOMAN","BLASIER","B.BLASIER","{""instructions"":[]}",,,,false,true,[],"435247085-250-1","https://www.zara.com/ca/en/blazer-with-shoulder-pads-p02700741.html?v1=435247085&v2=2546081","CAD",
448421390,404177911,"FINE KNIT SWEATER",29.9,681,"Burgundy","Plain round neck long sleeve sweater. Side slits at hem. Ribbed trim.",,"WOMAN","JERSEY","PUNTO JERSEY","{""instructions"":[]}",,,,false,true,[],"448421390-681-2","https://www.zara.com/us/en/basic-fine-knit-sweater-p01509105.html?c8cid=WDhRC4BCY4sap1q4D8GfjVC7BmxQTcyXwcuc90AvukMCYRkcKP5EMbDOKWMtw9EfKuZWDtIN8eVfhx1Fw3O9H7rhCKnviA3tUQLzVYzf-1440&utm_campaign=91127812&utm_content=instagram&utm_medium=affiliation&utm_source=c8&v1=404185930","USD",
413993094,413974384,"ZARA NAIL POLISH GOLD",99,789,,"Superior duration. This high-performance formula is made with a concentration of natural ingredients, and lasts as long as traditional nail polishes.",,"WOMAN","ESMALTE DE UÑAS","COSM-UÑAS","{""instructions"":[]}",,,,false,true,[],"413993094-789-99","https://www.zara.com/se/en/zara-nail-polish-gold-p24100401.html?v1=413993094&v2=2419517","SEK",
416224502,416211101,"LEDERGÜRTEL MIT HERZEN",29.95,600,"Rot","3 cm breiter Gürtel aus Leder. Applikation mit farblich abgesetzten Herznieten. Eckige Metallschnalle.",,"WOMAN","CINTURONES","Z-CINTURONES","{""instructions"":[]}",,,,false,false,[],"416224502-600-80","https://www.zara.com/de/de/ledergurtel-mit-herzen-p01736013.html?v1=416224502&v2=2419517","EUR",
412099049,412092666,"FLACHE VELOURSLEDER-RIEMCHENSANDALE",45.95,105,"Braun","Sandalette aus Veloursleder. Zehenriemchen. Riemchen vorne. Riemen hinten mit Metallschnalle am Knöchel. Eckige Zehenpartie.

Höhe der Sohle: 1 cm",,"WOMAN","SANDALIA E","Z1W:ABIERTO PLA","{""instructions"":[]}",,,"H&#xF6;he der Sohle: 1 cm",false,true,[],"412099049-105-35","https://www.zara.com/de/de/flache-veloursleder-riemchensandale-p11612510.html?v1=412099049&v2=2546081","EUR",
435685544,415174523,"100% WOOL OVERSIZE CARDIGAN",79.9,700,"Brown","Loose-fitting jacket made of 100% wool. Featuring a lapel collar, long sleeves, a front patch pocket, side slits at the hem and a button-up front.",,"WOMAN","CHAQUETA","PUNTO CHAQUETA","{""instructions"":[]}",,,,false,true,[],"435685544-700-2","https://www.zara.com/ch/en/100-wool-oversize-cardigan-p09598010.html?v1=435685544&v2=2420393&awc=32887_1739118656_5f5da66f659f574d1f9c8bcc0c926b1c+Ltd","CHF",
